ep,task_id,fbeta_raw,spec_raw,reason_raw,total_01,ts
33,formatting_compliance,0.12,0.0001,0.0192,0.0768,1777165322.19
34,formatting_compliance,0.67,0.0001,0.2115,0.4549,1777165322.19
35,formatting_compliance,0.16,0.0001,0.033,0.1043,1777165322.19
36,internal_consistency,0.0001,0.0001,0.165,0.0413,1777165348.17
37,internal_consistency,0.0001,0.0001,0.063,0.0158,1777165348.17
38,internal_consistency,0.0001,0.0001,0.057,0.0143,1777165348.17
39,internal_consistency,0.0001,0.0001,0.057,0.0143,1777165348.17
40,internal_consistency,0.0001,0.0001,0.03,0.0076,1777165348.17
41,internal_consistency,0.0001,0.0001,0.165,0.0413,1777165348.17
42,internal_consistency,0.0001,0.0001,0.063,0.0158,1777165348.17
43,internal_consistency,0.0001,0.0001,0.057,0.0143,1777165348.17
44,internal_consistency,0.0001,0.0001,0.057,0.0143,1777165348.17
45,internal_consistency,0.0001,0.0001,0.03,0.0076,1777165348.17
46,internal_consistency,0.0001,0.0001,0.165,0.0413,1777165348.18
47,internal_consistency,0.0001,0.0001,0.063,0.0158,1777165348.18
48,internal_consistency,0.0001,0.0001,0.057,0.0143,1777165348.18
49,internal_consistency,0.0001,0.0001,0.057,0.0143,1777165348.18
50,internal_consistency,0.0001,0.0001,0.03,0.0076,1777165348.18
51,claim_evidence_audit,0.7353,0.9999,0.611,0.7439,1777165408.03
52,claim_evidence_audit,0.9,0.9999,0.6975,0.8644,1777165408.03
53,claim_evidence_audit,0.9,0.9999,0.6975,0.8644,1777165408.03
54,claim_evidence_audit,0.72,0.9999,0.7437,0.7679,1777165408.03
55,claim_evidence_audit,0.9,0.9999,0.7672,0.8818,1777165408.03
56,claim_evidence_audit,0.7353,0.9999,0.611,0.7439,1777165408.03
57,claim_evidence_audit,0.9,0.9999,0.6975,0.8644,1777165408.03
58,claim_evidence_audit,0.9,0.9999,0.6975,0.8644,1777165408.03
59,claim_evidence_audit,0.72,0.9999,0.7437,0.7679,1777165408.03
60,claim_evidence_audit,0.9,0.9999,0.7672,0.8818,1777165408.03
61,claim_evidence_audit,0.7353,0.9999,0.611,0.7439,1777165408.03
62,claim_evidence_audit,0.9,0.9999,0.6975,0.8644,1777165408.03
63,claim_evidence_audit,0.9,0.9999,0.6975,0.8644,1777165408.03
64,claim_evidence_audit,0.72,0.9999,0.7437,0.7679,1777165408.03
65,claim_evidence_audit,0.9,0.9999,0.7672,0.8818,1777165408.03
66,citation_verification,0.1,0.9999,0.1018,0.2354,1777165436.17
67,citation_verification,0.0001,0.0001,0.135,0.0338,1777165436.17
68,citation_verification,0.5,0.9999,0.2437,0.5109,1777165436.17
69,citation_verification,0.5,0.9999,0.1787,0.4947,1777165436.17
70,citation_verification,0.5,0.9999,0.3087,0.5272,1777165436.17
71,citation_verification,0.1,0.9999,0.1018,0.2354,1777165436.17
72,citation_verification,0.0001,0.0001,0.135,0.0338,1777165436.17
73,citation_verification,0.5,0.9999,0.2437,0.5109,1777165436.17
74,citation_verification,0.5,0.9999,0.1787,0.4947,1777165436.17
75,citation_verification,0.5,0.9999,0.3087,0.5272,1777165436.17
76,citation_verification,0.1,0.9999,0.1018,0.2354,1777165436.17
77,citation_verification,0.0001,0.0001,0.135,0.0338,1777165436.17
78,citation_verification,0.5,0.9999,0.2437,0.5109,1777165436.17
79,citation_verification,0.5,0.9999,0.1787,0.4947,1777165436.17
80,citation_verification,0.5,0.9999,0.3087,0.5272,1777165436.17
81,prompt_injection_audit,0.0001,0.0001,0.15,0.0376,1777165465.88
82,prompt_injection_audit,0.5556,0.0001,0.1757,0.3773,1777165465.88
83,prompt_injection_audit,0.0001,0.0001,0.15,0.0376,1777165465.88
84,prompt_injection_audit,0.2941,0.0001,0.172,0.2195,1777165465.88
85,prompt_injection_audit,0.0001,0.0001,0.105,0.0263,1777165465.88
86,prompt_injection_audit,0.0001,0.0001,0.15,0.0376,1777165465.88
87,prompt_injection_audit,0.5556,0.0001,0.1757,0.3773,1777165465.88
88,prompt_injection_audit,0.0001,0.0001,0.15,0.0376,1777165465.88
89,prompt_injection_audit,0.2941,0.0001,0.172,0.2195,1777165465.88
90,prompt_injection_audit,0.0001,0.0001,0.105,0.0263,1777165465.88
91,prompt_injection_audit,0.0001,0.0001,0.15,0.0376,1777165465.88
92,prompt_injection_audit,0.5556,0.0001,0.1757,0.3773,1777165465.88
93,prompt_injection_audit,0.0001,0.0001,0.15,0.0376,1777165465.88
94,prompt_injection_audit,0.2941,0.0001,0.172,0.2195,1777165465.88
95,prompt_injection_audit,0.0001,0.0001,0.105,0.0263,1777165465.88
